train_loss,train_emissions,train_flops,train_electricity_cost,eval_loss,train_acc,train_robust_acc,pgd40_robust_acc,epochs,model,model_parameters,synthetic_data,at,at_steps,aa_robust_acc,eval_acc
0.5024199485778809,0.8447497591338786,17937.112123280287,0.04469556886909091,0.45270127058029175,99.99799346923828,99.97595977783203,52.34375,110,wide_resnet34_20_dm,184531674,False,pgd,7,47.63999879360199,88.13
0.5014790892601013,0.4051759377283688,1580.02046631936,0.0057797352039772746,0.25923144817352295,100.0,100.0,30.7373046875,110,wide_resnet28_10_dm,36479194,False,trades,1,7.959999889135361,79.51
0.5051047801971436,0.31951144757737676,1185.18833332224,0.003970159549914773,0.3400721251964569,97.87459564208984,99.90384674072266,56.201171875,110,wide_resnet28_10_dm,36479194,False,pgd,1,0.0,82.44
1.0350898504257202,0.6355567753542395,7974.304789228644,0.021200855732928254,0.40798720717430115,95.5345687866211,86.0515365600586,41.6748046875,400,wide_resnet34_20_dm,184531674,False,pgd,2,43.709999322891235,90.45
1.081405520439148,0.8823048824668942,7985.314360912059,0.013990405235568177,0.46749985218048096,89.6915054321289,71.79086303710938,60.5224609375,110,wide_resnet34_20,184531674,True,pgd,2,57.55000114440918,88.25
1.0540746450424194,0.7938186542342297,11629.384710488066,0.026942392289625024,0.4265550673007965,95.56490325927734,86.2840576171875,40.3076171875,400,wide_resnet70_16,266796506,False,pgd,2,31.47999942302704,89.61
0.5086448192596436,0.5645169195241674,2765.9007339724794,0.009711009061931813,0.45480623841285706,99.99198913574219,99.78565979003906,47.2412109375,110,wide_resnet28_10_dm,36479194,False,pgd,5,46.65000140666962,84.08
0.9623737931251526,0.8402122815628923,5981.19905230848,0.014657599389718745,0.26659414172172546,93.79607391357422,97.11138153076172,53.5888671875,400,wide_resnet34_20_dm,184531674,False,pgd,1,0.0,94.42
0.947641134262085,0.7978495634709555,11627.757437976574,0.028763764198999994,0.2251865714788437,97.38581848144531,97.28165435791016,35.5712890625,400,wide_resnet70_16,266796506,False,trades,1,0.0,97.08
0.590299129486084,0.775338098760917,7975.394404895651,0.02046533943409092,0.22160837054252625,96.62059020996094,96.35416412353516,9.47265625,110,wide_resnet34_20_dm,184531674,True,trades,1,0.009999999747378752,93.97
1.5449236631393433,0.8813053220190515,5991.445990735871,0.015202553565593748,0.5202606916427612,78.67469024658203,54.35929489135742,60.205078125,400,wide_resnet34_10,46160474,True,pgd,10,56.279999017715454,88.69
1.1498441696166992,0.8659391993726783,3510.4039781990405,0.01572951107734375,0.40810447931289673,93.41546630859375,78.60376739501953,44.6044921875,400,wide_resnet34_10_dm,46160474,False,pgd,5,49.68000054359436,90.08
