,epoch,train_loss,train_top1,train_robust_top1,train_eps,train_lr,train_latency,train_emissions,train_flops,train_cloud_computing_cost_lb,train_cloud_computing_cost_ub,train_electricity_cost,eval_loss,eval_top1,eval_robust_top1,model,method,n_pgd_steps,robust_top1
99,99,0.647767961025238,96.06555938720705,88.85711669921875,8,0.004,131991.75,,3160.764518498304,0.063062725,0.2141199499999999,0.0083418786,0.486249029636383,86.44999694824219,55.52000045776367,wide_resnet28_10,trades,5,48.59
99,99,0.559700071811676,96.5266571044922,90.8887710571289,8,0.004,80262.078125,,1975.348751695872,0.0383474373263888,0.1302029267361111,0.0050725633375,0.4514756202697754,86.63999938964844,57.209999084472656,wide_resnet28_10,trades,2,46.400000000000006
99,99,0.5605953931808472,96.48236083984376,90.70352935791016,8,0.004,98799.203125,,2508.197923848192,0.0472040637152777,0.1602742628472222,0.0062441096375,0.4486897885799408,86.83999633789062,57.47999954223633,wide_resnet34_10,trades,2,45.95
99,99,0.6488988995552063,96.0091781616211,88.50072479248047,8,0.004,171244.390625,,4013.374456725504,0.0818167644097222,0.2777964559027778,0.0108226454875,0.4836304783821106,86.66000366210938,56.380001068115234,wide_resnet34_10,trades,5,49.11
99,99,0.3494031131267547,99.11203002929688,86.09053039550781,8,0.004,246815.109375,0.0158404979021488,6020.27650056192,0.1179227744791666,0.4003889552083333,0.0155987149125,0.3718250691890716,88.2699966430664,53.86000061035156,wide_resnet34_10,pgd,10,49.45
99,99,0.8898679614067078,90.52029418945312,80.3580093383789,8,0.004,40617.88671875,,414.34441580544,0.0194063236545138,0.0658912384548611,0.002567050440625,0.6404844522476196,83.38999938964844,54.15999984741211,resnet18_32,trades,7,46.03
99,99,0.0741438344120979,99.06370544433594,98.68717956542967,8,0.004,16934.49609375,,165.682841911296,0.0080909259114583,0.0274715158854166,0.001070260153125,0.3679064810276031,90.08000183105467,66.19999694824219,resnet18_32,trades,1,0.4
99,99,0.3499330282211303,99.16438293457033,86.14288330078125,8,0.004,149467.921875,0.0093563537070189,3555.903107432448,0.0714124515625,0.242470184375,0.0094463726625,0.3732515275478363,88.54000091552734,53.20000076293945,wide_resnet28_10,pgd,7,49.14
99,99,0.0381158478558063,70.49774169921875,98.84624481201172,8,0.004,45390.43359375,0.0028094270763878,1185.071573827584,0.0216865404947916,0.0736333700520833,0.002868675403125,1.1327943801879885,69.91999816894531,95.62000274658205,wide_resnet28_10,pgd,1,0.0
99,99,0.6358118653297424,95.5762710571289,74.617431640625,8,0.004,17908.982421875,0.0007629446307917,165.682841911296,0.0085565138237847,0.0290523492621527,0.0011318476890624,0.4176315069198608,86.54000091552734,54.52000045776367,resnet18_32,pgd,2,43.74
99,99,0.6943103671073914,94.96012878417967,72.24146270751953,8,0.004,29533.736328125,0.0010631881036889,290.013628858368,0.0141105629123263,0.0479102833767361,0.0018665321359375,0.4257895946502685,85.94999694824219,53.5099983215332,resnet18_32,pgd,5,45.129999999999995
99,99,0.0269525051116943,80.45264434814453,99.17848205566406,8,0.004,56149.16796875,0.0030493488583783,1504.746901929984,0.0268268246961805,0.0910864280381944,0.003548627415625,0.8180209994316101,77.79000091552734,95.70999908447266,wide_resnet34_10,pgd,1,0.0
99,99,0.6623694896697998,95.695068359375,87.890625,8,0.004,218262.578125,,5136.457463169024,0.1042810095486111,0.3540704045138889,0.0137941949374999,0.4934277236461639,86.22000122070312,55.900001525878906,wide_resnet28_10,trades,10,48.53
99,99,0.3419461250305176,99.18653106689452,86.3402099609375,8,0.004,185601.9375,0.0124063924195517,4515.099967684608,0.08867648125,0.3010875875,0.01173004245,0.365860641002655,88.30999755859375,54.310001373291016,wide_resnet34_10,pgd,7,49.72
99,99,0.0358338467776775,99.5288314819336,99.37982940673828,8,0.004,77862.109375,,2006.472412889088,0.0372007855902777,0.1263096440972222,0.0049208853125,0.2836090922355652,92.55999755859376,68.37999725341797,wide_resnet34_10,trades,1,0.02
99,99,0.0430383719503879,99.57514190673828,99.38184356689452,8,0.004,63095.2109375,,1580.210162761728,0.0301454896701388,0.1023544532986111,0.00398761733125,0.2799689769744873,92.2699966430664,69.13999938964844,wide_resnet28_10,trades,1,0.04
99,99,0.7108041048049927,94.87757873535156,71.60518646240234,8,0.004,49006.25,0.0023891239772217,497.231607103488,0.0234140972222222,0.0794990277777777,0.003097195,0.4284762740135193,86.18000030517578,53.290000915527344,resnet18_32,pgd,10,45.93
99,99,0.6770265102386475,95.9487762451172,88.15641021728516,8,0.004,205055.375,,5016.825478643712,0.0979709013888888,0.3326453861111111,0.0129594997,0.5010850429534912,86.5199966430664,56.2599983215332,wide_resnet34_10,trades,7,48.730000000000004
99,99,0.6610319018363953,96.18234252929688,88.64167022705078,8,0.004,166458.625,,3951.041696366592,0.0795302319444444,0.2700328805555556,0.0105201851,0.4902195334434509,86.5999984741211,56.08000183105469,wide_resnet28_10,trades,7,48.55
99,99,0.8205418586730957,90.98743438720705,82.50845336914062,8,0.004,20911.697265625,,207.12643756032,0.0099911442491319,0.0339234200086805,0.0013216192671875,0.5860130786895752,84.08000183105469,54.43999862670898,resnet18_32,trades,2,43.38
99,99,0.8720777630805969,91.00958251953124,80.99830627441406,8,0.004,32410.298828125,,331.457224507392,0.0154849205512152,0.0525767069878472,0.0020483308859374,0.6307497620582581,83.56999969482422,53.81999969482422,resnet18_32,trades,5,46.26
